id,carnet,idSeccion,fechaInicio,fechaFinal
0, 8822450477, 1, 01/01/1994, 12/20/1994
1, 5579668244, 1, 01/01/1994, 12/20/1994
2, 4790248682, 1, 01/01/1994, 12/20/1994
3, 5408728544, 1, 01/01/1994, 12/20/1994
4, 4089777852, 1, 01/01/1994, 12/20/1994
5, 9264427813, 1, 01/01/1994, 12/20/1994
6, 9870787932, 1, 01/01/1994, 12/20/1994
7, 0118762362, 1, 01/01/1994, 12/20/1994
8, 1328792498, 1, 01/01/1994, 12/20/1994
9, 6577745781, 1, 01/01/1994, 12/20/1994
10, 8916693519, 1, 01/01/1994, 12/20/1994
11, 0261877380, 1, 01/01/1994, 12/20/1994
12, 4293311440, 1, 01/01/1994, 12/20/1994
13, 7560823955, 1, 01/01/1994, 12/20/1994
14, 5570882308, 1, 01/01/1994, 12/20/1994
15, 5190120880, 1, 01/01/1994, 12/20/1994
16, 1144677645, 1, 01/01/1994, 12/20/1994
17, 5345281076, 1, 01/01/1994, 12/20/1994
18, 2102061809, 1, 01/01/1994, 12/20/1994
19, 8592375894, 1, 01/01/1994, 12/20/1994
20, 2407273419, 1, 01/01/1994, 12/20/1994
21, 7803825397, 1, 01/01/1994, 12/20/1994
22, 4227725135, 1, 01/01/1994, 12/20/1994
23, 6173731290, 1, 01/01/1994, 12/20/1994
24, 1154073343, 1, 01/01/1994, 12/20/1994
25, 0019864078, 4, 01/01/1992, 12/20/1992
26, 7332417766, 4, 01/01/1992, 12/20/1992
27, 8339151797, 4, 01/01/1992, 12/20/1992
28, 0675939445, 4, 01/01/1992, 12/20/1992
29, 9310320257, 4, 01/01/1992, 12/20/1992
30, 0878923144, 4, 01/01/1992, 12/20/1992
31, 1524147117, 4, 01/01/1992, 12/20/1992
32, 4368491513, 4, 01/01/1992, 12/20/1992
33, 0413463362, 4, 01/01/1992, 12/20/1992
34, 2971869555, 4, 01/01/1992, 12/20/1992
35, 8689213554, 4, 01/01/1992, 12/20/1992
36, 5802626399, 4, 01/01/1992, 12/20/1992
37, 6612282878, 4, 01/01/1992, 12/20/1992
38, 3980858111, 4, 01/01/1992, 12/20/1992
39, 7833966525, 4, 01/01/1992, 12/20/1992
40, 3196008592, 4, 01/01/1992, 12/20/1992
41, 6763628013, 4, 01/01/1992, 12/20/1992
42, 2729096817, 4, 01/01/1992, 12/20/1992
43, 5524332600, 4, 01/01/1992, 12/20/1992
44, 7221621578, 4, 01/01/1992, 12/20/1992
45, 3021106781, 4, 01/01/1992, 12/20/1992
46, 2217116649, 4, 01/01/1992, 12/20/1992
47, 8881063476, 4, 01/01/1992, 12/20/1992
48, 7287650355, 4, 01/01/1992, 12/20/1992
49, 5711956981, 4, 01/01/1992, 12/20/1992
50, 0019864078, 5, 01/01/1996, 12/20/1996
51, 7332417766, 5, 01/01/1996, 12/20/1996
52, 8339151797, 5, 01/01/1996, 12/20/1996
53, 0675939445, 5, 01/01/1996, 12/20/1996
54, 9310320257, 5, 01/01/1996, 12/20/1996
55, 0878923144, 5, 01/01/1996, 12/20/1996
56, 1524147117, 5, 01/01/1996, 12/20/1996
57, 4368491513, 5, 01/01/1996, 12/20/1996
58, 0413463362, 5, 01/01/1996, 12/20/1996
59, 2971869555, 5, 01/01/1996, 12/20/1996
60, 8689213554, 5, 01/01/1996, 12/20/1996
61, 5802626399, 5, 01/01/1996, 12/20/1996
62, 6612282878, 5, 01/01/1996, 12/20/1996
63, 3980858111, 5, 01/01/1996, 12/20/1996
64, 7833966525, 5, 01/01/1996, 12/20/1996
65, 3196008592, 5, 01/01/1996, 12/20/1996
66, 6763628013, 5, 01/01/1996, 12/20/1996
67, 2729096817, 5, 01/01/1996, 12/20/1996
68, 5524332600, 5, 01/01/1996, 12/20/1996
69, 7221621578, 5, 01/01/1996, 12/20/1996
70, 3021106781, 5, 01/01/1996, 12/20/1996
71, 2217116649, 5, 01/01/1996, 12/20/1996
72, 8881063476, 5, 01/01/1996, 12/20/1996
73, 7287650355, 5, 01/01/1996, 12/20/1996
74, 5711956981, 5, 01/01/1996, 12/20/1996
75, 6660589678, 7, 01/01/2018, 12/20/2018
76, 3637409437, 7, 01/01/2018, 12/20/2018
77, 3919513150, 7, 01/01/2018, 12/20/2018
78, 0307237087, 7, 01/01/2018, 12/20/2018
79, 7655499160, 7, 01/01/2018, 12/20/2018
80, 3121802461, 7, 01/01/2018, 12/20/2018
81, 3403729516, 7, 01/01/2018, 12/20/2018
82, 9669804639, 7, 01/01/2018, 12/20/2018
83, 1556497768, 7, 01/01/2018, 12/20/2018
84, 8402727069, 7, 01/01/2018, 12/20/2018
85, 1395228108, 7, 01/01/2018, 12/20/2018
86, 8156362314, 7, 01/01/2018, 12/20/2018
87, 3188997299, 7, 01/01/2018, 12/20/2018
88, 2914991312, 7, 01/01/2018, 12/20/2018
89, 6861040347, 7, 01/01/2018, 12/20/2018
90, 4166327968, 7, 01/01/2018, 12/20/2018
91, 3811081543, 7, 01/01/2018, 12/20/2018
92, 5961441709, 7, 01/01/2018, 12/20/2018
93, 9967674741, 7, 01/01/2018, 12/20/2018
94, 1979395578, 7, 01/01/2018, 12/20/2018
95, 3041768216, 7, 01/01/2018, 12/20/2018
96, 3175115489, 7, 01/01/2018, 12/20/2018
97, 5055055421, 7, 01/01/2018, 12/20/2018
98, 8939458680, 8, 01/01/1993, 12/20/1993
99, 1932830014, 8, 01/01/1993, 12/20/1993
100, 2980792640, 8, 01/01/1993, 12/20/1993
101, 0425721752, 8, 01/01/1993, 12/20/1993
102, 5411096421, 8, 01/01/1993, 12/20/1993
103, 1574002333, 8, 01/01/1993, 12/20/1993
104, 4517179885, 8, 01/01/1993, 12/20/1993
105, 3107058378, 8, 01/01/1993, 12/20/1993
106, 0497246597, 8, 01/01/1993, 12/20/1993
107, 2798035457, 8, 01/01/1993, 12/20/1993
108, 2755384433, 8, 01/01/1993, 12/20/1993
109, 8225920864, 8, 01/01/1993, 12/20/1993
110, 9976931670, 8, 01/01/1993, 12/20/1993
111, 6845948259, 8, 01/01/1993, 12/20/1993
112, 6632387640, 8, 01/01/1993, 12/20/1993
113, 0042402905, 8, 01/01/1993, 12/20/1993
114, 7392794094, 8, 01/01/1993, 12/20/1993
115, 1550417177, 8, 01/01/1993, 12/20/1993
116, 9688667404, 8, 01/01/1993, 12/20/1993
117, 6138268008, 8, 01/01/1993, 12/20/1993
118, 8988103769, 8, 01/01/1993, 12/20/1993
119, 6666301056, 9, 01/01/2009, 12/20/2009
120, 6841551168, 9, 01/01/2009, 12/20/2009
121, 7737362606, 9, 01/01/2009, 12/20/2009
122, 8013636291, 9, 01/01/2009, 12/20/2009
123, 5125162434, 9, 01/01/2009, 12/20/2009
124, 7423861243, 9, 01/01/2009, 12/20/2009
125, 0617398739, 9, 01/01/2009, 12/20/2009
126, 3201934453, 9, 01/01/2009, 12/20/2009
127, 1402097840, 9, 01/01/2009, 12/20/2009
128, 0490760090, 9, 01/01/2009, 12/20/2009
129, 9592522022, 9, 01/01/2009, 12/20/2009
130, 8893070391, 9, 01/01/2009, 12/20/2009
131, 4310414710, 9, 01/01/2009, 12/20/2009
132, 2020968053, 9, 01/01/2009, 12/20/2009
133, 2495098843, 9, 01/01/2009, 12/20/2009
134, 6712261260, 9, 01/01/2009, 12/20/2009
135, 5012660838, 9, 01/01/2009, 12/20/2009
136, 7929094065, 9, 01/01/2009, 12/20/2009
137, 9771430963, 9, 01/01/2009, 12/20/2009
138, 8596870911, 9, 01/01/2009, 12/20/2009
139, 6642457099, 10, 01/01/2008, 12/20/2008
140, 4212818302, 10, 01/01/2008, 12/20/2008
141, 9026595158, 10, 01/01/2008, 12/20/2008
142, 5479086359, 10, 01/01/2008, 12/20/2008
143, 1382703090, 10, 01/01/2008, 12/20/2008
